h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate
420030203001089,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,2,0,1,1,20130521
420030203001129,5,2,2,1,1,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,5,0,0,0,1,2,3,2,20130521
420030203001139,12,4,8,0,2,1,9,0,0,0,1,0,2,0,0,1,1,0,1,0,0,1,4,0,0,1,0,7,3,0,1,0,1,11,1,0,3,3,2,5,7,20130521
420030203001140,3,0,2,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,1,1,2,20130521
420030203001141,25,9,11,5,6,5,14,0,0,0,0,0,1,1,0,0,2,0,2,3,0,1,6,0,7,2,0,18,3,0,4,0,0,25,0,0,2,3,11,11,14,20130521
420030305001000,6,0,5,1,1,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,6,0,1,3,1,1,2,4,20130521
420030305001001,22,3,15,4,7,7,8,0,0,0,0,0,0,1,0,0,3,1,0,0,4,2,4,1,6,0,0,2,20,0,0,0,0,22,0,6,3,5,5,10,12,20130521
420030305001002,4,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,3,1,20130521
420030305001003,12,3,6,3,4,7,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,4,0,3,0,0,1,11,0,0,0,0,12,0,3,4,2,0,4,8,20130521
420030305001004,106,42,53,11,51,37,18,0,0,0,1,1,0,23,5,2,7,2,3,4,12,7,16,1,14,3,5,2,102,1,0,0,1,106,0,11,18,22,13,45,61,20130521
420030305001005,24,7,11,6,11,10,3,0,0,1,1,0,1,5,2,0,0,1,0,0,2,4,2,2,2,1,0,1,23,0,0,0,0,24,0,2,6,4,5,15,9,20130521
420030305001006,6,1,2,3,1,4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,6,0,0,0,0,6,0,1,1,2,1,0,6,20130521
420030305001007,3,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,3,0,20130521
420030305001008,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,20130521
420030305001009,10,2,6,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,1,0,1,3,7,0,0,0,0,10,0,1,3,1,3,2,8,20130521
420030305001010,8,2,5,1,4,3,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,2,0,1,0,0,0,8,0,0,0,0,8,0,0,2,2,2,5,3,20130521
420030305001011,15,4,8,3,5,8,2,0,0,0,0,0,0,1,1,0,0,1,0,2,0,4,1,1,3,1,0,1,12,0,1,0,1,13,2,0,3,4,4,4,11,20130521
420030305001012,22,9,7,6,8,9,5,0,0,0,1,1,0,1,1,1,2,0,2,0,1,1,4,0,7,0,0,4,15,0,0,0,3,22,0,3,3,5,2,8,14,20130521
420030305001013,105,23,63,19,26,30,49,0,1,1,2,5,8,15,4,0,4,0,5,1,6,13,12,2,8,8,10,87,17,0,0,0,1,98,7,4,20,31,27,60,45,20130521
420030305001014,110,34,52,24,28,49,33,1,2,2,4,5,2,15,4,2,7,0,4,1,14,15,17,1,11,0,3,82,27,0,0,0,1,110,0,7,21,29,19,56,54,20130521
420030305001015,29,6,20,3,9,12,8,0,0,0,1,0,1,2,1,0,3,0,3,2,2,3,6,0,4,0,1,2,19,0,8,0,0,29,0,5,5,7,6,16,13,20130521
420030305001016,2,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,1,1,20130521
420030305001017,26,5,16,5,11,11,4,0,0,0,0,0,1,1,1,1,2,0,1,2,4,1,6,1,2,2,1,0,25,0,0,0,1,26,0,5,7,7,2,11,15,20130521
420030305001021,4,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4,0,0,0,0,4,0,1,3,0,0,2,2,20130521
420030305001022,18,4,11,3,7,8,3,0,0,0,0,0,1,1,1,0,1,1,1,1,1,3,5,0,1,1,0,2,14,1,0,0,1,18,0,7,1,4,2,7,11,20130521
420030305001023,4,0,4,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,4,0,0,1,1,2,0,4,20130521
420030305001032,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,1,1,20130521
420030305001035,4,1,2,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,3,0,0,0,0,3,1,0,2,1,0,2,2,20130521
420030305001036,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,20130521
420030305001037,17,3,9,5,3,9,5,0,0,0,1,0,0,1,0,2,0,1,0,0,3,2,4,0,3,0,0,7,8,0,1,0,1,15,2,0,3,7,4,11,6,20130521
420030305001038,45,13,25,7,16,15,14,0,0,0,1,1,0,2,1,2,6,1,1,2,3,6,8,0,5,2,4,21,23,0,1,0,0,45,0,5,9,9,9,26,19,20130521
420030305001039,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,0,2,20130521
420030305001040,27,8,17,2,9,7,11,0,0,0,0,1,1,1,1,1,2,0,2,4,0,3,6,0,3,0,2,9,17,0,1,0,0,27,0,2,7,7,3,14,13,20130521
420030305001041,13,2,6,5,4,5,4,0,0,0,0,1,0,1,1,0,1,1,0,0,0,2,4,0,1,0,1,1,12,0,0,0,0,13,0,4,2,2,3,7,6,20130521
420030305001042,10,3,4,3,5,0,5,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,2,0,1,1,0,6,4,0,0,0,0,10,0,1,1,3,2,4,6,20130521
420030305002001,24,2,18,4,9,14,1,0,0,0,0,0,0,1,0,0,1,1,1,2,4,4,5,0,5,0,0,0,23,0,0,0,1,24,0,3,7,10,2,11,13,20130521
420030305002003,3,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,3,0,0,1,1,0,1,2,20130521
420030305002004,4,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,0,2,4,0,0,2,0,0,2,2,20130521
420030305002005,15,7,4,4,6,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,1,3,0,0,0,12,0,0,0,3,13,2,2,2,2,2,6,9,20130521
420030305002006,5,1,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,5,0,0,0,0,5,0,0,3,0,1,1,4,20130521
420030305002007,34,8,16,10,9,15,10,0,0,2,0,1,0,1,1,1,2,1,1,1,4,2,11,0,4,1,1,2,30,0,0,0,2,34,0,3,9,6,8,18,16,20130521
420030305002008,15,6,5,4,6,6,3,0,0,0,1,0,0,0,0,1,2,0,0,0,3,0,3,1,1,0,3,2,12,0,1,0,0,15,0,1,1,4,3,7,8,20130521
420030305002009,31,15,11,5,14,11,6,0,0,0,2,1,0,0,0,1,1,0,2,1,4,3,10,0,5,0,1,9,20,0,1,0,1,30,1,4,2,8,2,15,16,20130521
420030305002011,16,4,8,4,9,3,4,0,0,0,0,0,1,0,0,0,1,0,1,0,2,2,4,0,3,1,1,3,10,0,3,0,0,16,0,2,3,3,4,5,11,20130521
420030305002013,8,1,6,1,1,6,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,2,0,0,1,7,0,0,0,0,8,0,2,1,2,2,3,5,20130521
420030305002014,8,1,7,0,2,4,2,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,2,0,0,1,6,0,0,1,0,8,0,1,2,1,3,3,5,20130521
420030305002015,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,2,20130521
420030305002016,8,1,2,5,0,6,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,2,0,0,1,0,1,7,0,0,0,0,8,0,2,1,4,0,4,4,20130521
420030305002017,6,2,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,1,5,0,0,0,0,6,0,0,2,1,1,2,4,20130521
420030305002018,14,4,7,3,8,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,3,0,2,1,0,2,12,0,0,0,0,14,0,1,6,2,1,4,10,20130521
420030305002020,26,7,12,7,8,8,10,0,1,0,0,0,3,1,0,1,2,1,5,0,0,2,6,0,1,1,2,9,16,0,1,0,0,26,0,4,4,5,6,15,11,20130521
420030305002021,12,5,6,1,3,7,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,3,1,1,0,5,7,0,0,0,0,12,0,0,0,5,2,4,8,20130521
420030305002022,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,20130521
420030305002023,4,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,2,0,0,0,1,4,0,1,0,2,0,2,2,20130521
420030402001000,13,3,9,1,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,2,1,0,0,13,0,0,0,0,13,0,2,1,5,2,4,9,20130521
420030402001001,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,2,20130521
420030402001002,4,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,4,0,0,0,1,1,1,3,20130521
420030402001003,7,0,6,1,1,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,7,0,0,0,0,7,0,1,3,2,1,3,4,20130521
420030402001004,20,9,9,2,7,9,4,0,0,0,0,0,0,2,0,0,0,1,0,1,1,4,7,0,2,1,1,5,14,0,0,0,1,18,2,3,3,3,2,8,12,20130521
420030402001007,16,8,7,1,7,7,2,0,0,0,0,0,0,1,0,0,1,2,1,1,1,1,3,1,4,0,0,2,14,0,0,0,0,16,0,1,0,3,4,8,8,20130521
420030402001008,20,3,12,5,6,12,2,0,0,0,0,1,0,1,4,1,2,1,1,0,0,1,5,0,3,0,0,0,20,0,0,0,0,20,0,3,6,3,5,10,10,20130521
420030402001009,27,9,16,2,8,15,4,0,0,0,0,0,1,2,3,1,1,0,1,1,5,1,5,0,3,1,2,2,24,0,1,0,0,26,1,1,5,9,3,14,13,20130521
420030402001010,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,20130521
420030402001011,22,7,13,2,15,3,4,0,0,0,0,0,0,2,0,0,1,0,0,0,4,4,6,0,4,0,1,5,14,0,0,0,3,20,2,2,6,4,3,10,12,20130521
420030402001012,22,5,15,2,6,7,9,0,0,0,0,3,1,1,0,1,0,0,1,0,1,3,8,0,1,0,2,1,19,0,2,0,0,22,0,2,8,2,5,8,14,20130521
420030402001014,291,92,155,44,93,95,103,0,0,2,9,12,10,44,21,4,12,5,19,13,16,19,55,3,30,5,12,224,46,0,19,0,2,291,0,14,69,59,57,145,146,20130521
420030402001017,86,25,45,16,25,23,38,0,2,0,2,6,1,20,4,1,4,3,2,2,4,6,12,1,7,5,4,79,6,0,1,0,0,79,7,6,22,10,23,42,44,20130521
420030402001018,10,1,7,2,2,1,7,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0,10,0,0,0,0,0,10,0,0,4,1,4,4,6,20130521
420030402001019,48,13,25,10,15,13,20,0,2,0,1,1,3,10,1,0,3,0,4,0,4,4,4,0,5,2,4,47,1,0,0,0,0,45,3,2,10,12,11,27,21,20130521
420030402001021,6,1,3,2,1,1,4,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,6,0,0,0,0,0,6,0,1,2,0,2,3,3,20130521
420030402001022,26,3,15,8,6,7,13,0,0,1,1,3,0,1,1,1,1,1,5,1,0,2,5,0,3,0,0,18,8,0,0,0,0,26,0,1,7,6,9,15,11,20130521
420030402001023,7,2,1,4,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,5,0,0,0,0,6,1,1,2,1,1,2,5,20130521
420030402001024,12,4,6,2,4,6,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3,1,2,0,0,3,9,0,0,0,0,12,0,1,2,4,1,8,4,20130521
420030402002004,39,4,31,4,14,13,12,0,0,1,1,1,1,2,1,1,3,0,1,2,5,5,8,0,6,0,1,16,17,0,4,0,2,33,6,9,10,10,6,18,21,20130521
420030402002005,36,14,16,6,14,16,6,0,0,0,0,0,1,3,1,0,3,1,1,2,1,3,15,0,5,0,0,10,24,0,1,0,1,35,1,3,9,9,1,15,21,20130521
420030402002006,21,10,8,3,9,8,4,0,0,0,1,0,0,1,0,0,0,0,1,3,2,2,7,0,2,1,1,4,17,0,0,0,0,21,0,0,4,4,3,8,13,20130521
420030402002010,87,20,44,23,27,36,24,0,0,0,1,2,0,2,2,0,8,1,3,4,8,7,34,4,10,0,1,49,37,0,0,0,1,83,4,2,20,24,21,33,54,20130521
420030402002012,7,2,5,0,3,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,7,0,0,0,0,7,0,1,0,2,2,5,2,20130521
420030402002014,77,24,31,22,25,38,14,0,0,0,0,1,1,5,0,1,9,3,2,3,3,13,20,5,8,2,1,45,29,0,2,0,1,76,1,8,20,13,12,36,41,20130521
420030404001001,130,36,63,31,31,37,62,1,2,0,2,11,5,15,3,3,5,0,13,2,7,22,23,2,12,2,0,52,17,3,56,0,2,108,22,15,17,31,31,78,52,20130521
420030404001003,16,3,10,3,5,4,7,0,0,0,0,1,1,0,0,2,2,0,1,1,3,1,2,0,1,1,0,4,5,0,7,0,0,16,0,1,2,3,7,6,10,20130521
420030404001004,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,20130521
420030404001007,237,75,107,55,70,60,107,0,1,0,5,12,15,37,9,3,16,1,27,6,15,16,28,2,23,7,14,231,0,0,6,0,0,237,0,9,45,55,53,130,107,20130521
420030404001009,3,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,3,0,0,1,0,1,2,1,20130521
420030404001010,14,5,6,3,4,4,6,1,1,0,0,1,0,2,0,1,0,0,0,0,0,1,4,0,2,1,0,7,0,0,7,0,0,14,0,1,1,3,4,9,5,20130521
420030404001011,5,2,3,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,1,0,3,2,3,0,1,1,1,4,1,20130521
420030404002001,106,17,41,48,27,24,55,0,0,0,4,6,0,5,1,2,7,1,8,4,4,25,28,1,5,4,1,91,2,0,13,0,0,106,0,4,27,23,35,45,61,20130521
420030404002002,50,12,27,11,10,12,28,0,0,0,3,0,0,2,0,0,2,0,4,1,2,16,17,1,1,1,0,34,2,1,12,0,1,47,3,2,8,8,20,24,26,20130521
420030404002003,92,20,34,38,15,14,63,0,0,0,1,4,1,2,0,1,4,1,7,5,3,30,24,1,5,1,2,66,9,0,17,0,0,90,2,5,14,16,37,55,37,20130521
420030405001005,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,20130521
420030405001006,5,4,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,4,1,0,0,0,0,5,0,0,0,1,0,4,1,20130521
420030405001009,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,20130521
420030405001010,35,17,14,4,13,14,8,0,0,0,2,1,2,2,0,0,0,0,2,3,1,8,6,2,2,4,0,21,6,0,5,0,3,32,3,2,3,3,10,23,12,20130521
420030405001011,163,70,71,22,55,61,47,3,2,0,6,13,4,24,7,3,10,7,6,7,11,13,27,3,12,4,1,120,30,1,9,0,3,150,13,9,29,31,24,89,74,20130521
420030405001012,7,2,3,2,3,1,3,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,5,0,0,2,0,0,7,0,0,1,1,3,4,3,20130521
420030405001013,4,2,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,4,0,0,0,1,1,2,2,20130521
420030405001014,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,20130521
420030405001015,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,20130521
420030405001016,11,5,3,3,4,4,3,0,0,0,0,0,1,2,1,0,1,0,0,0,1,1,3,0,0,1,0,7,0,1,3,0,0,10,1,0,1,2,3,5,6,20130521
420030405001017,5,3,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,3,2,0,0,0,0,5,0,0,0,1,1,3,2,20130521
420030405001018,8,3,2,3,3,2,3,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,3,0,0,0,0,6,1,0,1,0,0,8,0,1,1,1,2,1,7,20130521
420030405001019,3,2,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,1,0,2,1,20130521
420030405002000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,20130521
420030405002001,16,4,5,7,9,5,2,0,0,0,1,0,1,1,0,0,0,1,0,1,0,2,6,0,2,1,0,13,2,0,1,0,0,16,0,3,2,4,3,4,12,20130521
420030405002006,3,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,3,0,1,0,0,1,2,1,20130521
420030405002007,7,1,5,1,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,4,2,0,1,0,0,7,0,1,1,2,2,3,4,20130521
420030405002008,16,8,5,3,4,6,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,4,1,2,0,0,14,0,0,2,0,0,16,0,0,1,2,5,6,10,20130521
420030405002009,18,6,9,3,7,9,2,0,0,0,0,0,1,1,0,1,2,0,0,0,0,4,3,2,3,0,1,15,0,0,3,0,0,18,0,1,0,6,5,7,11,20130521
420030405002010,33,14,12,7,9,18,6,0,0,0,1,0,0,2,1,0,1,0,5,0,1,5,9,1,7,0,0,28,4,0,0,0,1,31,2,2,8,3,6,16,17,20130521
420030405002011,10,3,5,2,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,3,0,0,6,0,0,3,0,1,10,0,1,3,1,2,6,4,20130521
420030405002012,7,4,1,2,4,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,0,6,1,0,0,0,0,7,0,0,1,1,1,6,1,20130521
420030405002014,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,3,0,0,2,0,1,2,1,20130521
420030405002015,3,1,0,2,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,1,1,0,2,1,20130521
